title;url;nick;location
[S/W] Friedrich EJ, Prosperity, Pretor, 51stan;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23603;tiktuk;Białystok
[S]  Celestia, Król i Zabójcy, Camel Up...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=31421;JAskier;Toruń
obniżka [S]Sola Fide, Champions of Midgard;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=25276;Vandal;Warszawa
[S] Gra o tron 2ed, Struggle of Empires;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=36715;garrecisko;Poznań [New Caprica]
[S/W] Różne gry - Opole;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=37242;Vermin83;Gdynia
[S] Wiertła Skały Minerały;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=42632;Grzesiek11;Pszczyna
[S/W] Carcassonne Wyspa Skye Jaskinia Cthulu [Wroc];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=39965;Golebievicus;Wrocław
[S/W] Lewis & Clark;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46254;77rpm;Jelenia Góra
[S]Guildhall,Yinsh,Giants,Carcassonne,Deadwood,Rokoko i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=32602;gaciak;Szczecin
Na sprzedaż u rhcorvin;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41415;rhcorvin;Poznań
[S/W] Alea Iacta Est, Sekary, Hotel Samoa i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=32919;Tomzaq;Silesia Superior
[S] Bang  Ucieczka [Wrocław];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41453;BIgBadWolf;Wrocław
[S]MAM ZA DUŻO GIER! ZABIERZCIE JE ODE MNIE! :D;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=27947;syfon;Warszawa
[S/W]Tide of Iron, Conquest of Empire;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=38096;SuperTramp;Bełchatów
[S] Realm of Wonder, Poseidon, Alhambra, Pośród Gwiazd +inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=40864;for2players;Bydgoszcz
[W/S]Horror Arkham i Dodatki, Thorgal, Doom Trooper,Labirynt;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35056;oen;Wawa
[S] Kilka tytułów;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=30344;Owczy;Gliwice
[S/W] solo od VPG, La Granja, Fields of Arle, Labyrinth ...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24823;Lord of the Void;Lublin
Agricola, Wysoki Napięcie, Niagara, Il Vecchio, Panic Lab..;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=24195;charlie;Poznań
[S/W]Szalona Misja, Dolina Kupców i INNE do 4 DYCH------->;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=25765;dewodaa;Piotrków Tryb.
[S] Terraformacja Marsa + Far Space Foundry;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=45977;emistrzu;Poznań
[S/W][WRO] Wyprzedaż świetnych tytułów w świetnych cenach :);http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=37014;Ardel12;Milicz/Wrocław
[S] Dominion (PL, nowy) + Intryga + Przystań + Złoty Wiek;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41720;ChlastBatem;Gdynia
[S];http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46236;Leander;Lublin
[S]Blueprints|Intrigue City|Pośród Gwiazd|Redacted|Spartacus;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=35871;8janek8;Kraków
[S/W] Stronghold, Na chwałę Rzymu, Runebound i inne;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=36933;PPeja;Poznań
[S] Znak Starszych Bogów+Nieznane siły;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46008;Acaraje;Kraków
[S/W] Antike, Monopoly: Assassin's Creed;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=23918;Jarzab;Katowice
[S/W] Kilka gier;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=41158;Danzi93;Warszawa
[S/W] Studium, Zombicide2, N Hex 3, Summoner Wars i...(Wawa);http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46099;zix;Warszawa
[S/W] Fresko Big Box, Robinson, Puerto Rico, Neuroshima...;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=28689;jabulanix;Warszawa
[S/W] Wygnańcy Oblężenie, World of Tanks+dodatek;http://www.gry-planszowe.pl/forum/viewtopic.php?f=53&t=46219;Elemele;Katowice
